Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\EinsyB_Jumper\Project Outputs for EInsyB_Jumper\Pick Place\Pick Place for Jumper.csv

========================================================================================================================
File Design Information:

Date:       24/01/18
Time:       15:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"FD3","FIDUCIAL","TopLayer","FIDUCIAL-1X2","6075.000","2978.000","0",""
"FD2","FIDUCIAL","TopLayer","FIDUCIAL-1X2","250.000","2978.000","0",""
"FD1","FIDUCIAL","TopLayer","FIDUCIAL-1X2","250.000","250.000","0",""
"C1","100nF","TopLayer","C0603","806.000","1658.000","90","CAP CER 0603 100nF 50V 10% X7R"
"C2","100nF","TopLayer","C0603","6059.000","2194.000","90","CAP CER 0603 100nF 50V 10% X7R"
"D1","Red","TopLayer","LED2012120","56.000","2442.331","90","LED 0805 Red"
"D2","SK310A-TP","TopLayer","SMA-SM","135.949","2406.858","90","DIODE Schottky 3A SMA"
"D3","Red","TopLayer","LED2012120","56.000","1467.331","90","LED 0805 Red"
"D4","SK310A-TP","TopLayer","SMA-SM","135.949","1431.858","90","DIODE Schottky 3A SMA"
"D5","Red","TopLayer","LED2012120","56.000","544.331","90","LED 0805 Red"
"D6","SK310A-TP","TopLayer","SMA-SM","135.949","508.858","90","DIODE Schottky 3A SMA"
"J1","Header 2x1","TopLayer","HDR2X1","3881.000","527.000","90","Header 2Pin 1Row T-Hole"
"J2","Header 2x1","TopLayer","HDR2X1","3981.000","527.000","90","Header 2Pin 1Row T-Hole"
"J3","Header 2x1","TopLayer","HDR2X1","4081.000","527.000","90","Header 2Pin 1Row T-Hole"
"J4","Header 2x1","TopLayer","HDR2X1","4181.000","527.000","90","Header 2Pin 1Row T-Hole"
"J5","HDR","BottomLayer","HDR2X23_ALT_PINOUT","1742.000","2564.000","360","CONN HEADER .100" DUAL STR 46POS"
"J6","HDR","BottomLayer","HDR2X23_ALT_PINOUT","1742.000","664.000","360","CONN HEADER .100" DUAL STR 46POS"
"J7","Header 2x1","TopLayer","HDR2X1","4281.000","527.000","90","Header 2Pin 1Row T-Hole"
"J8","Header 2x1","TopLayer","HDR2X1","4381.000","527.000","90","Header 2Pin 1Row T-Hole"
"J9","Header 2x1","TopLayer","HDR2X1","4481.000","527.000","90","Header 2Pin 1Row T-Hole"
"J10","Header 2x1","TopLayer","HDR2X1","4581.000","527.000","90","Header 2Pin 1Row T-Hole"
"J11","Header 3x1","TopLayer","HDR3X1","4352.000","2080.819","90","Header 3Pin 1Row T-Hole"
"J12","Header 3x1","TopLayer","HDR3X1","4452.000","2080.819","90","Header 3Pin 1Row T-Hole"
"J13","Header 3x1","TopLayer","HDR3X1","4552.000","2080.819","90","Header 3Pin 1Row T-Hole"
"J14","Header 3x1","TopLayer","HDR3X1","4652.000","2080.819","90","Header 3Pin 1Row T-Hole"
"J15","Header 3x1","TopLayer","HDR3X1","3852.000","2080.819","90","Header 3Pin 1Row T-Hole"
"J16","Header 3x1","TopLayer","HDR3X1","3952.000","2080.819","90","Header 3Pin 1Row T-Hole"
"J17","HDR","BottomLayer","HDR2X7_ALT_PINOUT","5904.953","1960.284","90","CONN HEADER .100" DUAL STR 14POS"
"J18","HDR","BottomLayer","HDR2X7_ALT_PINOUT","5904.953","2660.284","90","CONN HEADER .100" DUAL STR 14POS"
"J19","HDR","BottomLayer","HDR2X7_ALT_PINOUT","5904.953","1260.284","90","CONN HEADER .100" DUAL STR 14POS"
"J20","HDR","BottomLayer","HDR2X7_ALT_PINOUT","5904.756","560.284","90","CONN HEADER .100" DUAL STR 14POS"
